x1107,x1108,x1109,x1110,x1111,x1112,x1113,x1114,x1115,x1116,x1117,x1118,x1131,x1135,x1138
18,20,6,6,14,6,19,11,11,20,6,6,20,15,6
23,19,24,24,19,24,24,1,1,19,24,1,1,3,24
18,1,1,19,1,19,19,1,1,1,19,19,1,6,19
8,6,9,9,1,9,19,1,1,6,9,9,20,1,9
13,3,14,14,23,14,29,31,26,6,14,14,3,31,14
30,1,30,30,1,30,30,1,1,1,31,30,1,6,30
26,1,26,26,21,26,26,1,1,1,27,26,19,1,26
1,15,8,23,18,23,23,1,1,1,2,8,16,9,23
20,1,21,21,16,21,21,1,1,1,21,21,1,3,21
34,1,33,33,27,33,33,1,1,1,35,34,15,6,33
2,5,3,3,1,3,5,6,6,5,3,1,5,6,3
4,27,6,2,1,6,6,34,1,6,2,9,26,1,6
20,19,21,21,13,21,21,28,28,19,21,21,19,15,21
13,1,14,14,9,14,14,1,1,1,14,1,15,24,1
13,35,14,14,9,14,14,1,1,1,14,14,1,3,14
1,19,21,21,13,18,14,1,1,19,21,21,15,19,21
13,1,14,14,1,14,14,1,1,1,14,1,1,16,14
26,15,26,26,21,26,26,35,15,35,27,1,3,1,26
26,1,26,26,21,26,26,1,1,1,27,1,3,1,26
2,28,3,3,21,3,3,1,22,28,3,1,27,24,3
13,1,23,23,18,23,23,1,1,1,23,23,15,1,23
18,6,19,19,1,19,19,10,10,6,19,19,6,1,19
17,1,18,18,13,18,18,1,1,1,18,18,22,15,18
7,1,8,8,4,8,8,1,1,1,8,8,1,1,8
8,15,9,9,1,9,3,3,15,20,9,9,6,1,9
1,25,21,21,19,21,21,12,12,25,21,21,1,25,21
19,1,20,20,15,20,20,1,1,1,20,20,15,20,20
13,1,14,14,1,20,21,1,1,1,14,14,19,24,14
26,28,17,17,21,26,3,1,1,1,27,26,18,3,26
30,9,30,30,4,30,30,4,1,4,31,30,9,1,30
22,22,23,11,18,23,23,31,22,18,23,23,22,15,23
26,1,26,26,21,26,26,1,1,1,27,26,1,6,26
26,1,26,26,1,26,26,1,1,1,27,26,1,15,26
18,21,19,19,1,19,19,30,13,14,19,20,21,1,19
7,1,4,8,2,4,8,1,1,1,4,4,9,1,4
2,9,3,3,1,3,29,28,9,6,3,1,9,12,3
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
18,1,19,19,14,19,19,1,1,1,19,6,1,6,19
23,9,24,24,19,24,24,32,32,9,1,1,1,6,24
1,18,7,7,3,7,23,3,1,1,1,7,24,18,7
